sample,heart_rate,sample,heart_rate,sample,heart_rate,sample,heart_rate,sample,heart_rate,sample,heart_rate,sample,heart_rate
369.0,150.0,,,321.0,125.0,323.0,157.89473684210526,335.0,176.47058823529412,389.0,136.36363636363637,321.0,150.0
389.0,142.85714285714286,378.0,136.36363636363637,345.0,115.38461538461539,342.0,157.89473684210526,352.0,166.66666666666666,411.0,142.85714285714286,341.0,150.0
410.0,150.0,400.0,115.38461538461539,371.0,125.0,361.0,157.89473684210526,370.0,166.66666666666666,432.0,136.36363636363637,361.0,142.85714285714286
430.0,150.0,,,,,380.0,157.89473684210526,388.0,176.47058823529412,454.0,136.36363636363637,382.0,166.66666666666666
450.0,142.85714285714286,429.0,136.36363636363637,398.0,136.36363636363637,399.0,157.89473684210526,405.0,166.66666666666666,476.0,142.85714285714286,,
471.0,150.0,,,,,418.0,166.66666666666666,423.0,166.66666666666666,497.0,136.36363636363637,403.0,142.85714285714286
491.0,150.0,454.0,136.36363636363637,,,436.0,157.89473684210526,441.0,176.47058823529412,519.0,142.85714285714286,,
511.0,142.85714285714286,,,,,455.0,157.89473684210526,458.0,166.66666666666666,540.0,136.36363636363637,466.0,150.0
532.0,150.0,479.0,136.36363636363637,473.0,115.38461538461539,474.0,166.66666666666666,476.0,176.47058823529412,562.0,136.36363636363637,486.0,150.0
552.0,150.0,,,499.0,115.38461538461539,492.0,157.89473684210526,493.0,166.66666666666666,584.0,130.43478260869566,506.0,150.0
572.0,150.0,504.0,166.66666666666666,,,511.0,166.66666666666666,511.0,166.66666666666666,607.0,136.36363636363637,526.0,142.85714285714286
592.0,150.0,,,,,529.0,157.89473684210526,529.0,176.47058823529412,629.0,136.36363636363637,547.0,150.0
612.0,150.0,,,532.0,142.85714285714286,548.0,187.5,546.0,166.66666666666666,651.0,136.36363636363637,567.0,142.85714285714286
651.0,150.0,576.0,150.0,560.0,130.43478260869566,585.0,187.5,600.0,166.66666666666666,717.0,136.36363636363637,,
671.0,157.89473684210526,,,,,,,618.0,176.47058823529412,739.0,136.36363636363637,668.0,150.0
690.0,150.0,,,586.0,125.0,604.0,166.66666666666666,635.0,166.66666666666666,761.0,136.36363636363637,,
710.0,157.89473684210526,603.0,136.36363636363637,610.0,107.14285714285714,622.0,157.89473684210526,653.0,166.66666666666666,783.0,136.36363636363637,,
729.0,157.89473684210526,625.0,125.0,,,641.0,166.66666666666666,671.0,166.66666666666666,805.0,136.36363636363637,727.0,150.0
748.0,150.0,,,641.0,136.36363636363637,659.0,157.89473684210526,689.0,166.66666666666666,827.0,136.36363636363637,747.0,150.0
768.0,157.89473684210526,652.0,136.36363636363637,,,678.0,166.66666666666666,707.0,157.89473684210526,849.0,136.36363636363637,767.0,150.0
787.0,150.0,674.0,125.0,,,696.0,166.66666666666666,726.0,157.89473684210526,871.0,136.36363636363637,787.0,150.0
807.0,150.0,,,670.0,107.14285714285714,714.0,157.89473684210526,745.0,157.89473684210526,893.0,136.36363636363637,807.0,150.0
827.0,150.0,,,698.0,103.44827586206897,733.0,166.66666666666666,764.0,150.0,915.0,130.43478260869566,827.0,150.0
847.0,150.0,,,,,751.0,157.89473684210526,784.0,150.0,938.0,136.36363636363637,847.0,150.0
867.0,142.85714285714286,718.0,103.44827586206897,730.0,111.11111111111111,770.0,166.66666666666666,804.0,150.0,960.0,136.36363636363637,867.0,150.0
888.0,150.0,,,,,788.0,166.66666666666666,824.0,157.89473684210526,,,887.0,157.89473684210526
908.0,142.85714285714286,,,760.0,120.0,806.0,157.89473684210526,843.0,150.0,,,,
929.0,136.36363636363637,770.0,125.0,,,825.0,166.66666666666666,863.0,157.89473684210526,,,,
951.0,150.0,,,788.0,130.43478260869566,843.0,157.89473684210526,882.0,157.89473684210526,,,,
971.0,136.36363636363637,797.0,142.85714285714286,,,862.0,166.66666666666666,901.0,157.89473684210526,,,964.0,166.66666666666666
,,529.0,136.36363636363637,,,,,564.0,166.66666666666666,673.0,136.36363636363637,588.0,150.0
,,551.0,120.0,,,567.0,166.66666666666666,582.0,166.66666666666666,695.0,136.36363636363637,608.0,150.0
,,818.0,130.43478260869566,814.0,130.43478260869566,880.0,157.89473684210526,920.0,157.89473684210526,,,,
,,862.0,115.38461538461539,867.0,120.0,954.0,157.89473684210526,,,,,,
,,891.0,142.85714285714286,895.0,125.0,,,,,,,,
,,912.0,130.43478260869566,919.0,115.38461538461539,,,,,,,,
,,,,840.0,125.0,917.0,157.89473684210526,957.0,157.89473684210526,,,,
,,,,948.0,130.43478260869566,,,,,,,,
,,,,971.0,115.38461538461539,,,,,,,,
,,,,,,899.0,166.66666666666666,939.0,166.66666666666666,,,,
,,,,,,936.0,166.66666666666666,976.0,166.66666666666666,,,,
,,,,,,973.0,166.66666666666666,,,,,,
